QID,Domain,Bloom_Level,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
718,Big Data,Application,Hard,"A company needs to store petabytes of data and run massive parallel processing jobs on it. The data is a mix of structured and unstructured files. What is a suitable platform?","A distributed file system like HDFS with a processing framework like Apache Spark or MapReduce","A single, large relational database server","A spreadsheet application","A collection of external USB hard drives","A"
719,DevOps,Knowledge,Medium,"What is 'SRE'?","Site Reliability Engineering","Software Release Environment","Secure Runtime Execution","System Resource Engineering","A"
720,IoT,Analysis,Medium,"What is a key advantage of using a cellular-based communication technology (like NB-IoT) for a smart water meter?","It provides wide-area coverage, allowing meters to be deployed across a city without relying on the customer's local Wi-Fi network","It has a much higher data rate than Wi-Fi","It does not consume any power","It is the cheapest available communication technology","A"
721,Cybersecurity,Comprehension,Medium,"What is 'pharming'?","An attack that redirects a website's traffic to a fraudulent, look-alike site in order to steal user credentials or personal information","A type of malware that targets agricultural systems","A social engineering attack that takes place on a farm","A method for securely farming out computational tasks","A"
722,Machine Learning,Knowledge,Medium,"What is 'underfitting'?","A modeling error that occurs when a model is too simple to capture the underlying structure of the data, resulting in poor performance on both training and test data","A model that fits perfectly under the data points","A problem that only affects deep learning models","A model that trains too quickly","A"
723,Cloud Computing,Knowledge,Medium,"What is a 'subnet mask'?","A number that defines a range of IP addresses that can be used in a network or subnetwork","A physical mask worn by network engineers","A security feature that hides a subnet","A type of network cable","A"
724,Artificial Intelligence,Analysis,Hard,"What is the main trade-off in the 'exploration vs. exploitation' problem in reinforcement learning?","The agent must balance trying new actions to discover potentially better rewards (exploration) with choosing actions that it already knows will yield a good reward (exploitation)","The trade-off between exploring a new dataset and exploiting the current one","A financial trade-off between exploring new markets and exploiting existing ones","The choice between a simple and a complex model","A"
725,Data Science,Comprehension,Medium,"What is a 'scatter plot' used for?","To display the relationship between two continuous variables, with each point representing an observation","To show the proportion of different categories","To show the distribution of a single numerical variable","To display data on a map","A"
726,Big Data,Knowledge,Medium,"What is 'real-time' data processing?","The processing of data as it is generated or received, with a very low latency, to enable immediate analysis and action","Processing data at the correct time of day","A type of processing that is very realistic","Processing data that is always factually correct","A"
727,DevOps,Application,Hard,"A team wants to ensure their infrastructure configurations are versioned, testable, and auditable. What approach should they adopt?","Infrastructure as Code (IaC)","Manual configuration via a GUI","Ad-hoc scripting","Outsourcing all infrastructure management","A"
728,IoT,Knowledge,Hard,"What is 'OPC UA'?","A cross-platform, open-source standard for data exchange from sensors to the cloud, primarily used in industrial automation and manufacturing (Industry 4.0)","A protocol for consumer smart home devices","A brand of IoT security camera","A type of low-power CPU for IoT devices","A"
729,Cybersecurity,Comprehension,Hard,"What is a 'supply chain attack' in cybersecurity?","An attack that targets a less-secure element in an organization's supply chain, such as a software vendor or a hardware manufacturer, to compromise the final product or service","A physical attack on a company's supply chain logistics","An attack that disrupts the supply of electricity to a data center","A type of social engineering attack on supply chain managers","A"
730,Machine Learning,Analysis,Medium,"What is the primary benefit of 'data augmentation' when training a computer vision model?","It artificially increases the size and diversity of the training dataset by creating modified versions of existing images (e.g., by rotating, cropping, or flipping them), which helps the model generalize better and reduces overfitting","It makes the images look better","It speeds up the training process","It guarantees 100% accuracy","A"
731,Cloud Computing,Knowledge,Easy,"What is 'autoscaling'?","A cloud feature that automatically adjusts the amount of computational resources in a server farm, typically in response to the load on the farm","A feature that automatically scales the text size on a screen","A method for manually scaling a server","A type of secure scaling ladder for data centers","A"
732,Artificial Intelligence,Comprehension,Medium,"What is the purpose of the 'discriminator' in a Generative Adversarial Network (GAN)?","To distinguish between real data from the training set and fake data produced by the generator network","To discriminate against certain types of data","To generate new, synthetic data","To set the learning rate for the generator","A"
733,Data Science,Knowledge,Medium,"What is 'TensorFlow'?","An open-source software library, developed by Google, for machine learning and artificial intelligence, especially for training and inference of deep neural networks","A tool for managing the flow of data in a pipeline","A type of hardware accelerator for deep learning","A brand of laptop designed for data science","A"
734,Big Data,Analysis,Medium,"What is a key advantage of 'object storage' for a data lake?","It is highly scalable, durable, and cost-effective, and it can store any type of data in its native format, from text files to images and videos","It provides strong transactional (ACID) guarantees","It is optimized for fast, complex queries with many joins","It enforces a strict relational schema on all data","A"
735,DevOps,Comprehension,Medium,"What is a 'pull request review'?","A process where other team members examine the code changes in a pull request to identify potential issues, suggest improvements, and ensure it meets quality standards before it is merged","A review of a request to pull a server from production","An automated scan of the code for vulnerabilities","A formal performance review for a developer","A"
736,IoT,Knowledge,Medium,"What does 'GPS' stand for?","Global Positioning System","Global Processing Service","General Purpose Sensor","Guaranteed Power Supply","A"
737,Cybersecurity,Comprehension,Medium,"What is a 'keylogger'?","A type of malware that records the keystrokes made by a user on their keyboard, often used to steal passwords and other sensitive information","A secure device for storing cryptographic keys","A person who is in charge of managing keys for a building","A software library for handling keyboard input","A"
738,Machine Learning,Analysis,Hard,"Why might a simpler model like logistic regression be preferred over a complex deep learning model?","The simpler model is more interpretable, easier to debug, and may be sufficient if the relationship between features and the target is not highly complex","The simpler model is always more accurate","The simpler model requires more data to train","The simpler model can only be used by expert data scientists","A"
739,Cloud Computing,Knowledge,Hard,"What is 'egress traffic'?","Network traffic that exits a network, such as data being transferred from a cloud provider out to the public internet. This traffic often incurs costs","Network traffic that enters a network","Internal traffic within a network","A type of malicious network traffic","A"
740,Artificial Intelligence,Application,Medium,"A company wants to create an AI that can play a complex board game better than any human. What AI technique is most famously associated with this achievement?","Reinforcement Learning (specifically, deep reinforcement learning)","Supervised classification","Unsupervised clustering","A rule-based expert system","A"
741,Data Science,Comprehension,Medium,"What does it mean to 'impute' missing data?","To replace the missing values with substituted values, such as the mean, median, or a value predicted by a machine learning model","To delete all rows that contain missing values","To highlight the missing values in a report","To ignore the missing values during analysis","A"
742,Big Data,Comprehension,Medium,"What is 'data velocity' in the context of big data?","The speed at which data is generated, collected, and processed","The total volume of data","The variety of different data types","The accuracy and trustworthiness of the data","A"
743,DevOps,Knowledge,Medium,"What is 'configuration management'?","The process of maintaining computer systems, servers, and software in a desired, consistent state, often using tools like Ansible, Puppet, or Chef","The management of a project's configuration files","A meeting to decide on the configuration of a new feature","A tool for managing the configuration of a user's desktop","A"
744,IoT,Analysis,Medium,"What is a primary benefit of using IPv6 for IoT devices?","Its massive address space, which can accommodate the vast number of devices expected to be connected to the internet","It is faster than IPv4","It consumes less power than IPv4","It is a simpler protocol than IPv4","A"
745,Cybersecurity,Knowledge,Medium,"What is a 'botnet'?","A network of hijacked computers that are controlled by an attacker to perform tasks like sending spam or launching DDoS attacks","A physical robot that is used for network security","A company that sells security software","A type of secure computer network","A"
746,Machine Learning,Comprehension,Medium,"What is the main idea behind 'boosting' in ensemble learning?","To train a sequence of models, where each model attempts to correct the errors of its predecessor, resulting in a strong combined model","To boost the amount of data available for training","To boost the processing speed of the training hardware","To combine many independent models by averaging their outputs","A"
747,Cloud Computing,Knowledge,Medium,"What is a 'Content Delivery Network' (CDN)?","A distributed network of servers that caches content closer to end-users to improve performance and reduce latency","A network for delivering secret government content","A tool for creating website content","A private network for a company's internal files","A"
748,Artificial Intelligence,Knowledge,Hard,"What is a 'Bayesian network'?","A probabilistic graphical model that represents a set of variables and their conditional dependencies using a directed acyclic graph (DAG)","A type of neural network developed by Thomas Bayes","A social network for statisticians","A physical network that is designed based on probabilistic principles","A"
749,Data Science,Knowledge,Medium,"What is 'Matplotlib'?","A popular and comprehensive library for creating static, animated, and interactive visualizations in Python","A mathematical library for matrix operations","A machine learning framework","A tool for cleaning data","A"
750,Big Data,Knowledge,Hard,"What is 'data provenance'?","The metadata that describes the origin and history of a piece of data, including its source, any transformations applied, and its movement over time","A legal term for the ownership of data","A security feature that prevents data from being changed","A method for organizing data into a specific province","A"
751,DevOps,Analysis,Medium,"What is the main goal of a 'blameless postmortem'?","To focus on learning from a system failure and identifying systemic causes, rather than assigning blame to individuals, in order to improve the system's resilience","To ensure that the person responsible for the failure is not blamed in public","A process where no one is held accountable","A meeting where everyone blames the system instead of the people","A"
752,IoT,Evaluation,Medium,"What is the most significant advantage of using a microcontroller (MCU) over a more powerful single-board computer (SBC) like a Raspberry Pi for a simple sensor node?","Much lower power consumption, allowing it to run for a very long time on a small battery","It is easier to program","It has more processing power","It can run a full desktop operating system","A"
753,Cybersecurity,Knowledge,Medium,"What is a 'DDoS' attack?","A Distributed Denial-of-Service attack, where a target is overwhelmed with traffic from many different compromised systems (a botnet)","A direct attack on a single server","A type of data backup","A security protocol","A"
754,Machine Learning,Analysis,Medium,"Why is 'feature scaling' important for algorithms that use gradient descent?","It can help the gradient descent algorithm converge much faster by ensuring that the contours of the loss function are more circular, rather than elongated","It is not important for gradient descent","It makes the features easier for humans to read","It reduces the number of features","A"
755,Cloud Computing,Comprehension,Hard,"What is the primary function of a 'NAT Gateway' in a VPC?","To allow instances in a private subnet to connect to the internet or other AWS services, but prevent the internet from initiating a connection with those instances","To translate network addresses for all traffic entering the VPC","A gateway for a network-attached storage (NAS) device","A security service that blocks all network traffic","A"
756,Artificial Intelligence,Comprehension,Hard,"What is a 'word embedding'?","A learned, dense vector representation of a word, where words with similar meanings have similar vector representations","The act of embedding a special word into a text to act as a watermark","A type of font for displaying words","A dictionary that defines the meaning of words","A"
757,Data Science,Knowledge,Medium,"What is 'standardization' in data preprocessing?","A scaling technique where the values of a feature are transformed to have a mean of zero and a standard deviation of one","The process of making data conform to a specific standard or format","A method for removing outliers","The act of documenting the data","A"
758,Big Data,Knowledge,Medium,"What is 'HBase'?","An open-source, non-relational, distributed database modeled after Google's Bigtable, which runs on top of HDFS and is well-suited for random, real-time read/write access to big data","A relational database for Hadoop","The base component of the Hadoop framework","A tool for securing a Hadoop cluster","A"
759,DevOps,Comprehension,Medium,"What is a 'pipeline' in the context of CI/CD?","A set of automated processes that allow developers and DevOps professionals to reliably and efficiently compile, build, and deploy their code to their production compute platforms","A physical pipe for data cables","A project management timeline","A communication channel between two teams","A"
760,IoT,Application,Hard,"A company wants to deploy thousands of sensors in a remote agricultural field where there is no Wi-Fi or power. The sensors only need to send a small amount of data once per day. What technology is most suitable?","A Low-Power Wide-Area Network (LPWAN) technology like LoRaWAN, with battery-powered devices","A Wi-Fi mesh network","A wired Ethernet network","A series of high-powered 5G devices","A"
761,Cybersecurity,Knowledge,Medium,"What is 'risk assessment'?","The process of identifying, analyzing, and evaluating risks to organizational assets and operations","A tool for assessing the performance of a security system","A financial assessment of the cost of a security breach","A test to see if a user is a security risk","A"
762,Machine Learning,Comprehension,Medium,"What is a 'greedy algorithm'?","An algorithm that makes the locally optimal choice at each stage with the hope of finding a global optimum","An algorithm that uses a large amount of resources","An algorithm that is very slow","An algorithm that is difficult to understand","A"
763,Cloud Computing,Knowledge,Easy,"What is a 'firewall'?","A network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules","A wall in a data center designed to stop fires","A tool for detecting overheating servers","A software library for web development","A"
764,Artificial Intelligence,Analysis,Medium,"What is a key difference between 'deep learning' and traditional 'machine learning'?","Deep learning models, with their deep architectures, can automatically learn features from the data, whereas traditional machine learning often requires manual, expert-driven feature engineering","Deep learning is a completely different field from machine learning","Traditional machine learning is no longer used","Deep learning models are always easier to interpret","A"
765,Data Science,Knowledge,Medium,"What is 'Seaborn' in the context of Python?","A popular data visualization library based on Matplotlib that provides a high-level interface for drawing attractive and informative statistical graphics","A library for sailing simulations","A machine learning framework","A tool for web scraping","A"
766,Big Data,Knowledge,Medium,"What is 'data redundancy'?","A condition created within a database or data storage technology in which the same piece of data is held in two separate places","A security feature","A method for making data processing faster","A type of data that is no longer needed","A"
767,DevOps,Analysis,Medium,"What is the main purpose of a 'staging environment' in a CI/CD workflow?","To provide a production-like environment where the application can be tested thoroughly before it is deployed to the actual production environment","A place to store old versions of the application","An environment for developers to write their code","The final production environment where users access the application","A"
768,IoT,Knowledge,Medium,"What is 'firmware'?","Permanent software programmed into a read-only memory of a computing device, which provides the low-level control for the device's specific hardware","A company that makes IoT hardware","A type of secure casing for an IoT device","A tool for managing a fleet of IoT devices","A"
769,Cybersecurity,Comprehension,Medium,"What is a 'brute-force' attack?","An attack where an attacker tries every possible password or key until the correct one is found","A physical attack on a data center","An attack that is very simple and easy to defend against","A type of social engineering attack","A"
770,Machine Learning,Knowledge,Medium,"What is a 'hyperplane'?","A subspace whose dimension is one less than that of its ambient space; in machine learning, it is the decision boundary used by algorithms like SVMs to separate classes","A type of airplane that flies at very high altitudes","A tool for visualizing high-dimensional data","A layer in a deep neural network","A"
771,Cloud Computing,Analysis,Medium,"What is a key benefit of using a 'load balancer'?","It improves the availability and scalability of an application by distributing traffic across multiple healthy servers","It balances the financial cost of running an application","It is a security device that blocks malicious traffic","It speeds up the processing on a single server","A"
772,Artificial Intelligence,Knowledge,Hard,"What is 'end-to-end learning'?","A deep learning approach where a single, complex model learns all the steps in a pipeline simultaneously, from raw input to final output, rather than having separate, hand-engineered components","Learning that covers the entire dataset from end to end","A very slow learning process","A method for encrypting data from end to end","A"
773,Data Science,Comprehension,Medium,"What is 'normalization' in the context of data preprocessing?","The process of scaling numerical data to a range, typically [0, 1], to prevent features with larger scales from dominating those with smaller scales","The process of making data conform to a normal distribution","The act of making data normal and not an anomaly","The process of removing all abnormal data points","A"
774,Big Data,Knowledge,Medium,"What is a 'data silo'?","A repository of data that is controlled by one department or business unit and is isolated from the rest of the organization","A secure, underground storage facility for data","A type of grain silo that uses big data","A method for organizing data alphabetically","A"
775,DevOps,Knowledge,Hard,"What does the 'A' in the 'CALMS' framework for DevOps stand for?","Automation","Agile","Analytics","Architecture","A"
776,IoT,Comprehension,Medium,"What is the primary function of a 'smart plug'?","To allow a user to turn a conventional, non-smart electronic device on or off remotely via a network connection","To provide more electrical outlets","A plug that is very easy to insert and remove","A plug that protects against power surges","A"
777,Cybersecurity,Analysis,Medium,"Why is 'https' (HTTP Secure) more secure than 'http'?","HTTPS uses encryption (TLS/SSL) to protect the confidentiality and integrity of the data exchanged between the user's browser and the website","HTTPS is a newer and faster protocol","HTTPS websites are guaranteed to be free of malware","HTTPS can only be used by secure websites","A"
778,Machine Learning,Comprehension,Hard,"What is the primary motivation for using a 'recurrent neural network' (RNN) for sequential data?","Its internal memory (state) allows it to process sequences of arbitrary length by retaining information about past inputs","RNNs are the only models that can process text data","RNNs are easier to train than feedforward neural networks","RNNs are a type of unsupervised learning","A"
779,Cloud Computing,Knowledge,Hard,"What is 'cost allocation tagging'?","The practice of applying tags (metadata) to cloud resources to categorize them, which allows an organization to track and allocate costs to specific projects, departments, or teams","A system for putting price tags on physical servers","A security feature that tags resources as high or low cost","A method for getting discounts on cloud services","A"
780,Artificial Intelligence,Application,Medium,"A company wants to develop an AI to write short news articles based on a set of factual bullet points. What AI technology is most appropriate?","Natural Language Generation (NLG)","Optical Character Recognition (OCR)","Image Recognition","A Clustering Algorithm","A"
781,Data Science,Comprehension,Medium,"What is a 'false positive' in a classification model?","An outcome where the model incorrectly predicts the positive class","An outcome where the model correctly predicts the positive class","An outcome where the model incorrectly predicts the negative class","An outcome where the model correctly predicts the negative class","A"
782,Big Data,Comprehension,Medium,"What is the purpose of a 'data schema'?","A blueprint that defines the structure of data, including the names of fields, their data types, and the relationships between them","A security policy for a database","A diagram of a data center's layout","A schedule for when data should be processed","A"
783,DevOps,Analysis,Hard,"What is a key difference between 'continuous delivery' and 'continuous deployment'?","In continuous delivery, every change is automatically prepared for a release to production, but the final push is a manual business decision. In continuous deployment, every change that passes the tests is automatically deployed","Continuous deployment is an older, less automated practice","Continuous delivery is for small teams, while continuous deployment is for large enterprises","There is no difference; the terms are synonymous","A"
784,IoT,Knowledge,Medium,"What is 'SCADA' (Supervisory Control and Data Acquisition)?","A system used in industrial settings to monitor and control industrial processes, which is now often being integrated with IoT","A type of secure communication protocol","A brand of industrial robot","A cloud platform for consumer IoT","A"
785,Cybersecurity,Knowledge,Medium,"What is a 'firewall rule'?","A specific instruction that a firewall uses to decide whether to allow or block a particular type of network traffic based on factors like source/destination IP, port, and protocol","A rule about fire safety in a data center","A suggestion for how to configure a firewall","A physical lock on a firewall device","A"
786,Machine Learning,Application,Hard,"A data scientist has a dataset with 100 features and wants to reduce it to 10 features while preserving as much of the original data's variance as possible. What technique should be used?","Principal Component Analysis (PCA)","K-Means Clustering","Linear Regression","A Decision Tree","A"
787,Cloud Computing,Comprehension,Medium,"What is a 'bastion host' or 'jump server'?","A server whose purpose is to provide a secure access point to a private network from an external network, like the internet. It is hardened and carefully monitored","The primary, most important server in a network","A server that is used for hosting games","A server that has been physically fortified","A"
788,Artificial Intelligence,Knowledge,Hard,"What is a 'latent variable' in a machine learning model?","A variable that is not directly observed but is rather inferred from other variables that are observed, often representing a hidden, underlying concept","A variable that is stored in a model's memory latency","A variable that is incorrect or invalid","A variable that is declared but never used in the code","A"
789,Data Science,Analysis,Medium,"Why is 'domain expertise' so important in a data science project?","It provides crucial context for defining the problem, understanding the data, creating relevant features, and interpreting the results in a meaningful way","It is a specific software tool for data analysis","It allows the data scientist to ignore the data","It guarantees that the project will be successful","A"
790,Big Data,Knowledge,Medium,"What is a 'distributed system'?","A system whose components are located on different networked computers, which communicate and coordinate their actions by passing messages to one another","A system that is distributed to customers on physical media","A system that has been taken apart","A backup system","A"
791,DevOps,Knowledge,Easy,"What is 'code'?","A set of instructions, written in a programming language, that a computer can execute","A secret message","A set of building regulations","A dress code for an office","A"
792,IoT,Evaluation,Medium,"What is a major advantage of using a cloud-based IoT platform?","It provides a scalable and managed infrastructure for handling large numbers of devices, massive data volumes, and complex analytics, reducing the need for in-house expertise","It is the only way to secure an IoT device","It provides free connectivity for all devices","It allows devices to work without a power source","A"
793,Cybersecurity,Comprehension,Medium,"What is the purpose of 'security awareness training' for employees?","To educate employees about security risks, company policies, and best practices to help them avoid common threats like phishing and social engineering","To train employees to become professional hackers","A physical fitness program for the security team","A training on how to use a specific security software","A"
794,Machine Learning,Analysis,Medium,"What is a key benefit of 'boosting' algorithms like AdaBoost or Gradient Boosting?","They can create a very powerful and accurate model by combining a sequence of simple, 'weak' learners, where each new learner focuses on the mistakes of the previous ones","They are the fastest models to train","They are very easy to interpret and explain","They are a type of unsupervised learning","A"
795,Cloud Computing,Knowledge,Hard,"What is a 'placement group' in AWS?","A logical grouping of instances within a single Availability Zone that can be used to influence the placement of the instances to meet the needs of certain workloads (e.g., for low latency or high availability)","A group of engineers responsible for placing servers in a rack","A security group for a specific physical location","A billing group for a customer's account","A"
796,Artificial Intelligence,Comprehension,Medium,"What is 'speech synthesis'?","The artificial production of human speech by a computer, also known as text-to-speech (TTS)","The process of analyzing the components of a speech","A method for recognizing who is speaking","A tool for correcting grammar in a speech","A"
797,Data Science,Comprehension,Medium,"What does it mean if a correlation coefficient is close to -1?","There is a strong negative linear relationship between the two variables (as one goes up, the other goes down)","There is a strong positive linear relationship","There is no linear relationship","The relationship is causal","A"
798,Big Data,Analysis,Hard,"What is a primary challenge in querying a 'data lake'?","The data is often raw, unstructured, and lacks a predefined schema, which can make it difficult to query and analyze without specialized tools and data preparation","The data is too small to be useful","The data is stored in a format that is not accessible","The data is always encrypted and cannot be read","A"
799,DevOps,Comprehension,Medium,"What is 'Git'?","A distributed version control system for tracking changes in source code during software development","A project management tool","A cloud hosting provider","A type of server hardware","A"
800,IoT,Analysis,Hard,"What is a key advantage of using a mesh network protocol like Thread for smart home devices?","It is self-healing; if one device (node) fails, the network can automatically re-route messages through other devices, increasing reliability","It has a much higher bandwidth than Wi-Fi","It is a proprietary standard owned by a single company","It does not require any power to operate","A"
801,Cybersecurity,Comprehension,Medium,"What is a 'Virtual Private Network' (VPN)?","A technology that creates a secure, encrypted connection over a public network like the internet, as if the user were directly connected to a private network","A network of virtual reality devices","A very fast and powerful computer network","A network that is not connected to the internet","A"
802,Machine Learning,Knowledge,Medium,"What is a 'training set' in machine learning?","The subset of the original data that is used to train a machine learning model","The set of all possible data","The data that is used to test the model after it is trained","A set of instructions for how to train a model","A"
803,Cloud Computing,Analysis,Medium,"What is the main advantage of using 'block storage' for a database server in the cloud?","It provides high-performance, low-latency access, similar to a local hard drive (SAN), which is ideal for transactional workloads","It is the cheapest form of storage for large files","It is designed for storing unstructured data like images and videos","It can be accessed directly from a web browser via an API","A"
804,Artificial Intelligence,Knowledge,Hard,"What is 'attention' in the context of neural networks?","A mechanism that allows a model to dynamically focus on the most relevant parts of the input sequence when producing an output, improving performance on long sequences","A state of high focus required by developers when building neural networks","A measure of how much a user is paying attention to an AI's output","A security feature that draws attention to anomalies","A"
805,Data Science,Knowledge,Medium,"What is a 'null hypothesis'?","A statement that there is no significant difference or relationship between variables in a statistical test; the test aims to determine if there is enough evidence to reject this statement","A hypothesis that has been proven to be null and void","A hypothesis that is always true","A hypothesis that is proposed by a null person","A"
806,Big Data,Application,Hard,"A company wants to analyze a massive, 50 TB graph dataset representing a social network. Which of the following would be the most appropriate tool?","A distributed graph processing system like Apache Giraph or GraphX on Spark","A single-node relational database like SQLite","A spreadsheet application like Microsoft Excel","A text editor","A"
807,DevOps,Knowledge,Medium,"What is a 'pipeline as code'?","The practice of defining the entire continuous integration and delivery pipeline in a version-controlled text file (like a Jenkinsfile or gitlab-ci.yml) rather than configuring it through a UI","A physical pipeline that is controlled by code","A programming language for creating pipelines","A document that describes a manual pipeline process","A"
808,IoT,Comprehension,Medium,"What is 'telemetry'?","The automatic collection and transmission of data from remote or inaccessible sources (like an IoT sensor) to a central receiving station for monitoring and analysis","A method for controlling a device remotely","A type of secure communication protocol","The study of television metrics","A"
809,Cybersecurity,Knowledge,Medium,"What is a 'security policy'?","A document that defines the goals, rules, and procedures for the security of an organization's assets","A specific rule on a firewall","A piece of security software","A legal contract with a security vendor","A"
810,Machine Learning,Comprehension,Hard,"What is a 'convolution' in a Convolutional Neural Network (CNN)?","A mathematical operation where a small matrix (a kernel or filter) is passed over an image to produce a feature map, detecting patterns like edges or textures","The process of convoluting and complicating the data","A final, fully connected layer of the network","A method for reducing the size of the image","A"
811,Cloud Computing,Comprehension,Medium,"What is the purpose of a 'network access control list' (NACL) in a VPC?","To act as a stateless firewall for controlling traffic in and out of one or more subnets","A list of all users who have access to the network","A tool for controlling physical access to a data center","A list of approved applications for a network","A"
812,Artificial Intelligence,Knowledge,Medium,"What is an 'algorithm'?","A finite sequence of well-defined, computer-implementable instructions, typically to solve a class of problems or to perform a computation","A type of musical rhythm","A philosophical concept","A hardware component in a computer","A"
813,Data Science,Analysis,Medium,"What is the main limitation of the 'correlation' metric?","It only measures the strength and direction of a linear relationship between two variables and does not account for non-linear relationships","It is very difficult and slow to calculate","It can only be used for categorical data","It is not a standardized measure","A"
814,Big Data,Comprehension,Medium,"What is the role of a 'job scheduler' (like Oozie or Airflow) in a big data ecosystem?","To manage and orchestrate the execution of complex, multi-step data processing jobs and workflows","A tool for scheduling job interviews for data engineers","A component that schedules CPU time for processes","A calendar for tracking project deadlines","A"
815,DevOps,Knowledge,Medium,"What is a 'sprint' in the Scrum framework?","A short, time-boxed period (usually 1-4 weeks) during which a specific amount of work is completed and made ready for review","A fast run from the developer's desk to the operations room","A type of automated test","A final, rushed period of development before a release","A"
816,IoT,Knowledge,Easy,"What does 'GPS' stand for?","Global Positioning System","General Purpose Satellite","Guaranteed Power Service","Global Pathing Software","A"
817,Cybersecurity,Knowledge,Medium,"What is a 'virus'?","A type of malicious code or program written to alter the way a computer operates and that is designed to spread from one computer to another by attaching itself to a legitimate program","A biological organism that infects computers","A hardware defect","A bug in the operating system","A"
818,Machine Learning,Application,Medium,"A real estate company wants to predict the sale price of a house based on its features (size, location, age, etc.). What type of ML problem is this?","Regression","Classification","Clustering","Anomaly Detection","A"
819,Cloud Computing,Knowledge,Hard,"What is 'disaster recovery' (DR)?","An organization's method of regaining access and functionality to its IT infrastructure after a natural or human-induced disaster","A tool for recovering deleted files","A team of people who respond to disasters","A type of insurance for IT equipment","A"
820,Artificial Intelligence,Comprehension,Medium,"What is 'data augmentation' used for in machine learning?","To increase the size and diversity of the training dataset by creating modified copies of existing data, which helps to improve model generalization and reduce overfitting","A process for purchasing more data","A method for cleaning and formatting data","A technique for visualizing data","A"
821,Data Science,Knowledge,Medium,"What is a 'Jupyter Notebook'?","An interactive, web-based computing environment that allows users to create and share documents containing live code, visualizations, and narrative text","A physical notebook for taking notes on data","A brand of laptop for data scientists","A software library for data analysis","A"
822,Big Data,Knowledge,Medium,"What does 'SQL' stand for?","Structured Query Language","Simple Query Logic","Secure Query Layer","Standard Query Library","A"
83,DevOps,Comprehension,Hard,"What is the key principle of 'immutable infrastructure'?","Once an infrastructure component (like a server) is deployed, it is never changed. To make updates, a new component is provisioned from a common image and replaces the old one","Infrastructure that is physically indestructible","Infrastructure that is managed by a single, unchangeable script","Infrastructure that cannot be monitored or accessed after deployment","A"
824,IoT,Analysis,Medium,"What is a primary benefit of using a 'platform as a service' (PaaS) for an IoT application?","It abstracts away the underlying infrastructure, allowing developers to focus on building the application logic without worrying about managing servers, operating systems, or runtimes","It is always the cheapest option for any workload","It provides free hardware for the IoT devices","It gives the developer complete control over the network hardware","A"
825,Cybersecurity,Knowledge,Medium,"What is a 'honeypot'?","A decoy computer system intended to attract and trap cyberattackers, allowing security researchers to monitor their activities and learn their methods","A secure server for storing sensitive data","A type of encryption algorithm","A password management tool","A"
826,Machine Learning,Knowledge,Medium,"What is 'scikit-learn'?","A popular open-source machine learning library for Python that provides simple and efficient tools for data mining and data analysis","A type of neural network","A programming language for machine learning","A hardware accelerator for ML","A"
827,Cloud Computing,Analysis,Medium,"What is a key difference between 'object storage' and 'block storage'?","Object storage is ideal for unstructured data and is accessed via APIs, while block storage behaves like a raw hard drive and is attached to a single VM, ideal for databases","Block storage is a newer technology than object storage","Object storage is faster for all use cases","Block storage is used for temporary data, while object storage is for permanent data","A"
828,Artificial Intelligence,Knowledge,Hard,"What is an 'adversarial example' in machine learning?","An input to a machine learning model that has been intentionally modified in a way that is imperceptible to a human, but causes the model to make a mistake","An example of a very difficult problem for an AI","Data that is used to train a model's adversary","An example provided by a competitor","A"
829,Data Science,Comprehension,Medium,"What does it mean if two variables have a correlation coefficient of 0?","There is no linear relationship between the variables","The two variables are identical","One variable causes the other","The relationship is perfectly negative","A"
830,Big Data,Knowledge,Medium,"What is 'batch processing'?","The processing of a large volume of data all at once, in a single run, often on a schedule","The processing of data as it arrives, in real-time","A method for processing data in small, random batches","A type of interactive data processing","A"
831,DevOps,Knowledge,Medium,"What is a 'canary release'?","A deployment strategy where a new version is rolled out to a small subset of users to test its performance and stability before making it available to everyone","A release that is cancelled at the last minute","A release that is only for internal testing","A release that is deployed to a server in the Canary Islands","A"
832,IoT,Knowledge,Medium,"What is a 'microcontroller' (MCU)?","A small, integrated circuit that contains a processor core, memory, and programmable input/output peripherals, often used to control embedded systems like IoT devices","A very large and powerful computer","A type of sensor","A cloud service for managing IoT devices","A"
833,Cybersecurity,Comprehension,Medium,"What is the purpose of a 'firewall'?","To monitor and control network traffic, acting as a barrier between a trusted internal network and an untrusted external network","To prevent fires in a data center","To detect and remove viruses","To encrypt data","A"
834,Machine Learning,Analysis,Medium,"What is the main benefit of 'data augmentation'?","It increases the size and diversity of the training set by creating modified versions of the data, which helps to prevent overfitting and improve model generalization","It cleans the data by removing errors","It speeds up the model training process","It guarantees that the model will be 100% accurate","A"
835,Cloud Computing,Knowledge,Easy,"What does 'VM' stand for?","Virtual Machine","Very Modern","Variable Memory","Verified Module","A"
836,Artificial Intelligence,Comprehension,Medium,"What is the goal of a 'recommendation engine'?","To predict a user's preference for an item and suggest relevant items, such as movies, products, or articles","An engine that recommends which AI algorithm to use","A tool for making recommendations to the AI development team","A hardware engine for running AI models","A"
